scenario,seed,offered_load_factor,drain_label,candidate_id,selected_edges,edge_count,candidate_count,selected_for_evaluation,selection_reason
cross-community-distractor-replay,1401,0.5,D3,cand0266,0-1;2-7;4-5,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0267,0-1;2-7;4-6,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0268,0-1;2-7;5-6,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0269,0-1;3-4;5-6,3,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0270,0-1;3-4;5-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0271,0-1;3-4;6-7,3,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0272,0-1;3-5;4-6,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0273,0-1;3-5;4-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0274,0-1;3-5;6-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0275,0-1;3-6;4-5,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0276,0-1;3-6;4-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0277,0-1;3-6;5-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0278,0-1;3-7;4-5,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0279,0-1;3-7;4-6,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0280,0-1;3-7;5-6,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0281,0-1;4-5;6-7,3,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0282,0-1;4-6;5-7,3,764,false,not-selected
